name,type,majax,minax,posang,surfbr,hubble,messier,common
NGC2176,OCl,1.10,1.00,20,,,,
NGC2177,OCl,1.50,1.40,160,,,,
NGC2178,G,1.27,1.00,73,23.07,E,,
NGC2179,G,1.99,1.44,165,23.39,S0-a,,
NGC2180,OCl,4.20,,,,,,
NGC2181,GCl,1.50,1.50,,,,,
NGC2182,RfN,3.00,2.00,,,,,
NGC2183,HII,12.00,,,,,,
NGC2184,OCl,6.60,,,,,,
NGC2185,Neb,2.00,2.00,,,,,
NGC2186,OCl,4.20,,,,,,
NGC2187,GPair,3.33,,,,,,
NGC2187,G,3.52,1.66,75,24.34,S0-a,,
NGC2187,G,2.67,2.18,87,24.28,E,,
NGC2188,G,5.42,1.33,177,23.26,SBm,,
NGC2190,GCl,2.20,2.20,,,,,
NGC2191,G,1.77,0.86,122,23.16,S0,,
NGC2192,OCl,5.40,,,,,,
NGC2193,GCl,1.70,1.70,,,,,
NGC2194,OCl,8.70,,,,,,
NGC2196,G,2.77,2.16,45,22.78,Sa,,
NGC2197,GCl,1.80,1.60,80,,,,
NGC2199,G,2.21,0.88,38,23.77,Sa,,
NGC2200,G,1.21,0.94,168,23.74,SBc,,
NGC2201,G,1.03,0.72,111,22.86,SABb,,
NGC2202,OCl,4.80,,,,,,
NGC2203,GCl,3.20,3.20,,,,,
NGC2204,OCl,6.30,,,,,,
NGC2205,G,1.30,0.99,77,23.05,E-S0,,
NGC2206,G,2.45,1.07,136,22.96,Sbc,,
NGC2207,G,4.86,2.71,116,23.84,SABc,,
NGC2208,G,1.73,1.00,107,23.91,S0,,
NGC2209,GCl,2.90,2.90,,,,,
NGC2210,GCl,3.30,3.30,,,,,
NGC2211,G,1.39,0.73,24,23.12,S0,,
NGC2212,G,1.28,0.69,147,23.80,S0-a,,
NGC2213,OCl,2.10,2.10,,,,,
NGC2214,OCl,3.10,3.10,,,,,
NGC2215,OCl,8.40,,,,,,
NGC2216,G,1.43,1.11,20,23.00,SABa,,
NGC2217,G,4.63,4.12,113,23.69,S0-a,,
NGC2219,OCl,4.20,,,,,,
NGC2221,G,2.41,0.51,179,23.83,Sa,,
NGC2222,G,1.35,0.38,148,23.07,SBa,,
NGC2223,G,2.82,2.25,9,23.36,Sbc,,
NGC2225,OCl,3.60,,,,,,
NGC2226,OCl,,,,,,,
NGC2227,G,2.27,1.21,21,22.86,Sc,,
NGC2228,G,0.99,0.84,42,23.32,S0,,
NGC2229,G,1.24,0.52,132,23.59,S0-a,,
NGC2230,G,1.32,0.65,93,23.53,E,,
NGC2231,GCl,2.10,2.10,,,,,
NGC2232,OCl,9.90,,,,,,
NGC2233,G,0.98,0.37,43,23.68,E,,
NGC2234,OCl,4.20,,,,,,
NGC2235,G,1.41,1.15,57,23.61,E,,
NGC2236,OCl,5.40,,,,,,
NGC2237,Neb,80.00,50.00,,,,,Rosette A
NGC2238,HII,80.00,60.00,,,,,Rosette Nebula
NGC2239,Cl+N,9.30,,,,,,
NGC2240,OCl,3.60,,,,,,
NGC2241,OCl,1.60,1.60,,,,,
NGC2242,PN,0.45,,,,,,
NGC2243,OCl,5.10,,,,,,
NGC2245,RfN,2.00,2.00,,,,,
NGC2246,Neb,10.00,10.00,90,,,,Rosette B
NGC2247,RfN,2.00,2.00,,,,,
NGC2249,GCl,2.30,2.30,,,,,
NGC2250,OCl,5.10,,,,,,
NGC2251,OCl,5.70,,,,,,
NGC2252,OCl,6.60,,,,,,
NGC2253,G,1.43,1.05,130,22.38,Sc,,
NGC2254,OCl,4.20,,,,,,
NGC2255,G,1.47,0.78,159,23.20,Sc,,
NGC2256,G,2.17,1.97,65,24.38,E-S0,,
NGC2257,GCl,4.00,4.00,,,,,
NGC2258,G,3.02,1.91,150,24.13,S0,,
NGC2259,OCl,6.00,,,,,,
NGC2260,OCl,,,,,,,
NGC2261,RfN,2.00,1.00,,,,,Hubble's Nebula
NGC2262,OCl,3.90,,,,,,
NGC2263,G,2.86,1.77,144,23.58,SBab,,
NGC2264,Cl+N,11.40,,,,,,Christmas Tree Cluster
NGC2265,OCl,4.50,,,,,,
NGC2266,OCl,4.20,,,,,,
